site	brand	banner_key	phash	src	landing_url	width	height	first_seen_ts_utc	last_seen_ts_utc	first_seen_date	last_seen_date	days_seen	times_seen	screenshot_path	notes	is_ad	ad_score	ad_reason	ad_id
caak.mn	looktv	caak.mn:b4f3a5f252426a89	c4b1c1e481fa3b6e	https://graph.caak.mn/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBN05jQlE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--bb454c51b42d9dd027e88c70bb0498f1520aa85c/caak.mn.jpg	https://looktv.mn/	422	520	2025-11-08T13:32:20+00:00	2025-11-09T10:22:50+00:00	2025-11-08	2025-11-09	2	3	C:\UNITEL_Website\Scraper\banner_screenshots\2025-11-08\caak_1762608737_0_bc800b17.png	onpage	1	3	large,external_click	b4f3a5f252426a89
bolor-toli.com	bolor	bolor-toli.com:7099de48e7edd248	c8e7740e2ff107a8	https://banner.bolor.net/files/37/176274226013.png	https://banner.bolor.net/pub/jump?t=eb8cb59a1bce5f6876df446e41dc5d77	1600	579	2025-11-10T02:46:39+00:00	2025-11-18T03:07:48+00:00	2025-11-10	2025-11-18	5	5	C:\UNITEL_Website\Scraper\banner_screenshots\2025-11-10\bolortoli_1762742783_0_1c65920c.png	onpage	1	6	large,ad_host/path,external_click	7099de48e7edd248
ikon.mn	Facebook	ikon.mn:8bca24ba6d61b47d	93573934d62a11eb	https://content.ikon.mn/raw/2025/11/10/18427/Sport_app_ikon_banner_1360x200.jpg	https://www.facebook.com/reel/4123467941205726	1280	720	2025-11-11T08:27:06+00:00	2025-11-11T08:27:06+00:00	2025-11-11	2025-11-11	1	1	C:\UNITEL_Website\Scraper\banner_screenshots\2025-11-11\ikon_1762849580_1_483b7664.png	from_ad_page:https://ikon.mn/ad/IKONMN_A1?1762849426	1	7	banner_note,large,ad_host/path,external_click	8bca24ba6d61b47d
ikon.mn	Facebook	ikon.mn:465ede745a5209fa	b952285cb5b63587	https://content.ikon.mn/raw/2025/11/11/18439/Sport_app_ikon_banner_1360x200_2.jpg	https://www.facebook.com/reel/4123467941205726	1280	720	2025-11-12T05:47:38+00:00	2025-11-19T04:26:46+00:00	2025-11-12	2025-11-19	5	8	C:\UNITEL_Website\Scraper\banner_screenshots\2025-11-12\ikon_1762926411_1_649361d9.png	from_ad_page:https://ikon.mn/ad/IKONMN_A1?1762925981	1	7	banner_note,large,ad_host/path,external_click	465ede745a5209fa
bolor-toli.com	bolor	bolor-toli.com:bca37bc086402a84	ed42928d919d927e	https://banner.bolor.net/files/37/176284355413.jpg	https://banner.bolor.net/pub/jump?t=b81c95dd8b367c381d8c29d6410e742e	1600	579	2025-11-12T05:48:35+00:00	2025-11-19T04:21:44+00:00	2025-11-12	2025-11-19	3	5	C:\UNITEL_Website\Scraper\banner_screenshots\2025-11-12\bolortoli_1762926459_0_4488d123.png	onpage	1	6	large,ad_host/path,external_click	bca37bc086402a84
bolor-toli.com	bolor	bolor-toli.com:2ea1f2676b44e737	b259b70e49463dca	https://banner.bolor.net/files/37/176292024913.jpg	https://banner.bolor.net/pub/jump?t=c047d3b2376c04dd8557f90dd9c9aa0b	1600	579	2025-11-12T05:48:35+00:00	2025-11-19T04:26:44+00:00	2025-11-12	2025-11-19	4	7	C:\UNITEL_Website\Scraper\banner_screenshots\2025-11-12\bolortoli_1762926498_0_fa84a932.png	onpage	1	6	large,ad_host/path,external_click	2ea1f2676b44e737
ikon.mn	golomtbank	ikon.mn:99dc3074b221eeaa	a931826e3d1aed65	https://content.ikon.mn/raw/2025/11/12/18446/IKON__2___1_.jpg	https://www.golomtbank.com/news/50915	1280	720	2025-11-14T03:51:18+00:00	2025-11-19T04:26:46+00:00	2025-11-14	2025-11-19	2	4	C:\UNITEL_Website\Scraper\banner_screenshots\2025-11-14\ikon_1763092254_2_77abb1bd.png	from_ad_page:https://ikon.mn/ad/IKONMN_B1?1763091632	1	4	banner_note,large,external_click	99dc3074b221eeaa
ikon.mn	urgoo	ikon.mn:2b48a0cc3b6f22eb	e9ea54c53d3612c9	https://content.ikon.mn/raw/2025/11/12/18443/Banner560x400.jpg	https://ticketing.urgoo.mn/movie/HO00001798	1280	720	2025-11-14T03:51:18+00:00	2025-11-19T04:26:47+00:00	2025-11-14	2025-11-19	3	6	C:\UNITEL_Website\Scraper\banner_screenshots\2025-11-14\ikon_1763092262_1_8943e5e1.png	from_ad_page:https://ikon.mn/ad/IKONMN_B2?1763091680	1	7	banner_note,large,ad_host/path,external_click	2b48a0cc3b6f22eb
bolor-toli.com	bolor	bolor-toli.com:dbd7048f4404f7e9	bb857f8be01b0364	https://banner.bolor.net/files/37/176291265613.jpg	https://banner.bolor.net/pub/jump?t=8dfb70bbb381ec62e7d15fc7f6b2366c	1600	579	2025-11-14T03:52:13+00:00	2025-11-19T04:26:44+00:00	2025-11-14	2025-11-19	4	6	C:\UNITEL_Website\Scraper\banner_screenshots\2025-11-14\bolortoli_1763092300_1_988754e7.png	onpage	1	6	large,ad_host/path,external_click	dbd7048f4404f7e9
caak.mn	khanbank	caak.mn:44db77f5e3059dc1	bb060c7197ed324e	https://graph.caak.mn/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBOGNVQmc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--6b41fbc802df36b903e5e8d2d6694183be0df913/caaak%20(2).jpg	https://www.khanbank.com/personal/news/intelligence/7820/	422	520	2025-11-14T03:55:33+00:00	2025-11-19T04:24:36+00:00	2025-11-14	2025-11-19	4	5	C:\UNITEL_Website\Scraper\banner_screenshots\2025-11-14\caak_1763092500_0_823be403.png	onpage	1	3	large,external_click	44db77f5e3059dc1
ikon.mn	golomtbank	ikon.mn:9202a9e6b535845d	cd53d26a1193adb4	https://content.ikon.mn/raw/2025/11/18/18454/HS_Ikom_560x400.jpg	https://www.golomtbank.com/news/50915	1280	720	2025-11-18T03:07:07+00:00	2025-11-19T04:26:47+00:00	2025-11-18	2025-11-19	2	4	C:\UNITEL_Website\Scraper\banner_screenshots\2025-11-18\ikon_1763435191_1_6d7e63d1.png	from_ad_page:https://ikon.mn/ad/IKONMN_B1?1763434770	1	4	banner_note,large,external_click	9202a9e6b535845d
gogo.mn	gogo	gogo.mn:64d3c145df94f496		https://exchange.boost.mn/ad/web/91a42947-672f-43a8-890c-a7798f3df1aa?config=eyJvZmZzZXQiOjAsImFzcGVjdFJhdGlvIjoiYXV0byIsImxheW91dCI6ImNhcm91c2VsIiwibG9hZE1vZGUiOiJsYXp5IiwidmVydGljYWxTbGlkZXNUb1Nob3ciOjMsInNob3dJbmRpY2F0b3JEb3RzIjp0cnVlLCJzaG93RHluYW1pY1N0YXRlT25seSI6dHJ1ZSwidmlld3BvcnRGcmFjdGlvbiI6MSwic2xpZGVTcGFjaW5nIjowLCJzbGlkZUltZ0JvcmRlclJhZGl1cyI6MCwiZHluYW1pY1N0YXRlRHVyYXRpb24iOjUsImxhenlMb2FkU3Bpbm5lckNvbG9yIjoiIzFENEI4RiIsImluZGljYXRvckRvdFNpemUiOjgsImluZGljYXRvckRvdENvbG9yIjoiIzFENEI4RiIsImVubGFyZ2VGYWN0b3IiOjFlLTEwLCJlbmxhcmdlQ2VudGVySXRlbSI6dHJ1ZSwic2hvd1ZpZGVvQ29udHJvbHMiOnRydWUsImF1dG9zdGFydCI6dHJ1ZX0=	https://gogo.mn	542	385	2025-11-18T03:09:18+00:00	2025-11-18T03:09:18+00:00	2025-11-18	2025-11-18	1	1		onpage	1	5	large,ad_host/path,ad_word	64d3c145df94f496
gogo.mn	gogo	gogo.mn:6ceed5de523f6fc9	90266c1bed0bda2f	https://edge.boost.mn/67e3d390bbe407d318e482f1/creative_converted/2acc894a-df45-4ffe-b804-edf2ae062bc9/691bce901976241e29849a8c_compressed.webp	https://gogo.mn	1100	483	2025-11-18T03:09:18+00:00	2025-11-18T07:24:03+00:00	2025-11-18	2025-11-18	1	2	C:\UNITEL_Website\Scraper\banner_screenshots\2025-11-18\gogo_1763435203_26_9f9663b7.png	onpage	1	4	large,ad_host/path	6ceed5de523f6fc9
ikon.mn	ly	ikon.mn:4b67d4afa16d9a28	dd5b48699668b6c2	https://content.ikon.mn/raw/2025/11/18/18456/560400.jpg	https://bit.ly/KB-11-11	1280	720	2025-11-18T07:23:18+00:00	2025-11-19T04:21:17+00:00	2025-11-18	2025-11-19	2	2	C:\UNITEL_Website\Scraper\banner_screenshots\2025-11-18\ikon_1763450571_2_26cd4c0c.png	from_ad_page:https://ikon.mn/ad/IKONMN_B1?1763450391	1	4	banner_note,large,external_click	4b67d4afa16d9a28
news.mn	news	news.mn:f3c14cfdab334d7d	d559d26a699a92a9	https://news.mn/wp-content/uploads/2025/11/HS-News.jpg	https://news.mn/#	299	244	2025-11-18T07:23:19+00:00	2025-11-19T04:27:01+00:00	2025-11-18	2025-11-19	2	4	C:\UNITEL_Website\Scraper\banner_screenshots\2025-11-18\news_1763450557_63_09be910d.png	video_poster	1	4	large,std_size,ad_word	f3c14cfdab334d7d
caak.mn	golomtbank	caak.mn:d62dc6a111690de2	d2b4cb4b964b7434	https://graph.caak.mn/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeDQxQmc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--bc42839e06e5ce28e0bc86d042eec6d06ab6a54b/1900300.jpg	https://www.golomtbank.com/news/51056	1680	265	2025-11-18T07:28:00+00:00	2025-11-19T04:24:36+00:00	2025-11-18	2025-11-19	2	2	C:\UNITEL_Website\Scraper\banner_screenshots\2025-11-18\caak_1763450635_0_117479c3.png	onpage	1	3	large,external_click	d62dc6a111690de2
bolor-toli.com	bolor	bolor-toli.com:5e750255d3297b07	c1c12f1e3c721f0f	https://banner.bolor.net/files/37/176352124213.png	https://banner.bolor.net/pub/jump?t=09555e1abf5a5da7f753930a420218a5	1600	579	2025-11-19T04:26:44+00:00	2025-11-19T04:26:44+00:00	2025-11-19	2025-11-19	1	1	C:\Scraper\banner_screenshots\2025-11-19\bolortoli_1763526375_0_2f23e314.png	onpage	1	6	large,ad_host/path,external_click	5e750255d3297b07
